Category,BoxNo,SideA,SideB,ActiveSide,TimeNextREV,MistakeNo
Math,1.0,1+1,2,0.0,27961443.0,0.0
Math,1.0,1+2,3,0.0,27961443.0,0.0
Math,3.0,1+5,6,0.0,27964323.0,0.0
Math,7.0,1+7,8,0.0,27970083.0,0.0
Math,15.0,1+11,12,0.0,27981603.0,0.0
Math,120.0,1+15,16,0.0,28132803.0,0.0
Math,1.0,1+16,17,1.0,27961477.0,0.0
Math,0.0,1+17,18,0.0,28222803.0,0.0
French,3.0,comme,as,0.0,27961548.0,0.0
French,3.0,je,I,0.0,27961548.0,0.0
French,3.0,son,his,0.0,27961548.0,0.0
French,3.0,que,that,0.0,27961548.0,0.0
French,3.0,il,he,0.0,27961548.0,0.0
French,1.0,faire,do,0.0,27961548.0,0.0
French,3.0,leur,their,0.0,27961548.0,0.0
